DeviceNo,,[25061405],[--------],
DeviceInfo,,[],[],
DeviceRange,,[20M¦¸],[--],
2025-07-13,23:05:03:693,01152,----,
2025-07-13,23:05:03:797,01154,----,
2025-07-13,23:05:03:910,01158,----,
2025-07-13,23:05:04:023,01158,----,
2025-07-13,23:05:04:126,01212,----,
2025-07-13,23:05:04:239,01214,----,
2025-07-13,23:05:04:343,01219,----,
2025-07-13,23:05:04:457,01219,----,
2025-07-13,23:05:04:571,00979,----,
2025-07-13,23:05:04:672,00963,----,
2025-07-13,23:05:04:785,00957,----,
2025-07-13,23:05:04:898,02992,----,
2025-07-13,23:05:05:003,02992,----,
2025-07-13,23:05:05:116,02736,----,
2025-07-13,23:05:05:219,02467,----,
2025-07-13,23:05:05:334,00299,----,
2025-07-13,23:05:05:436,00323,----,
2025-07-13,23:05:05:549,00323,----,
2025-07-13,23:05:05:664,00335,----,
2025-07-13,23:05:05:768,00565,----,
2025-07-13,23:05:05:881,00598,----,
2025-07-13,23:05:05:983,00598,----,
2025-07-13,23:05:06:096,00586,----,
2025-07-13,23:05:06:212,00331,----,
2025-07-13,23:05:06:315,00336,----,
2025-07-13,23:05:06:428,00473,----,
2025-07-13,23:05:06:531,00473,----,
2025-07-13,23:05:06:643,02198,----,
2025-07-13,23:05:06:756,02055,----,
2025-07-13,23:05:06:868,01949,----,
2025-07-13,23:05:06:972,01949,----,
2025-07-13,23:05:07:086,01297,----,
2025-07-13,23:05:07:187,01336,----,
2025-07-13,23:05:07:301,01374,----,
2025-07-13,23:05:07:414,01701,----,
2025-07-13,23:05:07:516,01701,----,
2025-07-13,23:05:07:630,01701,----,
2025-07-13,23:05:07:733,01700,----,
2025-07-13,23:05:07:846,01702,----,
2025-07-13,23:05:07:959,01702,----,
2025-07-13,23:05:08:061,01704,----,
2025-07-13,23:05:08:175,01720,----,
2025-07-13,23:05:08:288,01696,----,
2025-07-13,23:05:08:403,01636,----,
2025-07-13,23:05:08:505,01121,----,
2025-07-13,23:05:08:618,01121,----,
2025-07-13,23:05:08:719,01194,----,
2025-07-13,23:05:08:833,01222,----,
2025-07-13,23:05:08:937,01076,----,
2025-07-13,23:05:09:050,01076,----,
2025-07-13,23:05:09:163,01048,----,
2025-07-13,23:05:09:268,00994,----,
2025-07-13,23:05:09:379,00470,----,
2025-07-13,23:05:09:483,00470,----,
2025-07-13,23:05:09:594,00464,----,
2025-07-13,23:05:09:709,00454,----,
2025-07-13,23:05:09:812,00431,----,
2025-07-13,23:05:09:926,00428,----,
2025-07-13,23:05:10:037,00428,----,
2025-07-13,23:05:10:141,00422,----,
2025-07-13,23:05:10:254,00326,----,
2025-07-13,23:05:10:367,00328,----,
2025-07-13,23:05:10:470,00415,----,
2025-07-13,23:05:10:584,00415,----,
2025-07-13,23:05:10:687,02285,----,
2025-07-13,23:05:10:801,02160,----,
2025-07-13,23:05:10:905,02044,----,
2025-07-13,23:05:11:028,02044,----,
2025-07-13,23:05:11:132,01288,----,
2025-07-13,23:05:11:234,01293,----,
2025-07-13,23:05:11:347,01301,----,
2025-07-13,23:05:11:462,01419,----,
2025-07-13,23:05:11:565,01419,----,
2025-07-13,23:05:11:677,01422,----,
2025-07-13,23:05:11:780,01427,----,
2025-07-13,23:05:11:893,01485,----,
2025-07-13,23:05:12:007,01485,----,
2025-07-13,23:05:12:110,01488,----,
2025-07-13,23:05:12:223,01492,----,
2025-07-13,23:05:12:327,01549,----,
2025-07-13,23:05:12:442,01549,----,
2025-07-13,23:05:12:555,01549,----,
2025-07-13,23:05:12:660,01548,----,
2025-07-13,23:05:12:771,01502,----,
2025-07-13,23:05:12:875,00948,----,
2025-07-13,23:05:12:990,00948,----,
2025-07-13,23:05:13:093,00976,----,
2025-07-13,23:05:13:206,01053,----,
2025-07-13,23:05:13:320,00934,----,
2025-07-13,23:05:13:422,00890,----,
2025-07-13,23:05:13:536,00890,----,
2025-07-13,23:05:13:644,00832,----,
2025-07-13,23:05:13:752,00330,----,
2025-07-13,23:05:13:866,00484,----,
2025-07-13,23:05:13:967,00628,----,
2025-07-13,23:05:14:082,00628,----,
2025-07-13,23:05:14:196,01596,----,
2025-07-13,23:05:14:298,01521,----,
2025-07-13,23:05:14:412,01431,----,
2025-07-13,23:05:14:523,01431,----,
2025-07-13,23:05:14:626,00484,----,
2025-07-13,23:05:14:735,00536,----,
2025-07-13,23:05:14:846,00821,----,
2025-07-13,23:05:14:958,01429,----,
2025-07-13,23:05:15:068,01429,----,
2025-07-13,23:05:15:178,01482,----,
2025-07-13,23:05:15:289,01458,----,
2025-07-13,23:05:15:391,01607,----,
2025-07-13,23:05:15:505,01607,----,
2025-07-13,23:05:15:616,01641,----,
2025-07-13,23:05:15:718,01699,----,
2025-07-13,23:05:15:828,02236,----,
2025-07-13,23:05:15:939,02243,----,
2025-07-13,23:05:16:051,02243,----,
2025-07-13,23:05:16:163,02265,----,
2025-07-13,23:05:16:267,02306,----,
2025-07-13,23:05:16:380,02285,----,
2025-07-13,23:05:16:483,02264,----,
2025-07-13,23:05:16:597,02264,----,
2025-07-13,23:05:16:709,01490,----,
2025-07-13,23:05:16:811,01465,----,
2025-07-13,23:05:16:922,01381,----,
2025-07-13,23:05:17:033,01381,----,
2025-07-13,23:05:17:143,00893,----,
2025-07-13,23:05:17:254,00860,----,
2025-07-13,23:05:17:365,00800,----,
2025-07-13,23:05:17:468,00299,----,
2025-07-13,23:05:17:581,00299,----,
2025-07-13,23:05:17:694,00302,----,
2025-07-13,23:05:17:797,00302,----,
2025-07-13,23:05:17:910,00509,----,
2025-07-13,23:05:18:022,00528,----,
2025-07-13,23:05:18:125,00528,----,
2025-07-13,23:05:18:239,00293,----,
2025-07-13,23:05:18:342,00312,----,
2025-07-13,23:05:18:456,00336,----,
2025-07-13,23:05:18:569,00336,----,
2025-07-13,23:05:18:673,02799,----,
2025-07-13,23:05:18:786,02691,----,
2025-07-13,23:05:18:899,02533,----,
2025-07-13,23:05:19:001,00991,----,
2025-07-13,23:05:19:114,00991,----,
2025-07-13,23:05:19:218,00984,----,
2025-07-13,23:05:19:331,01003,----,
2025-07-13,23:05:19:445,01128,----,
2025-07-13,23:05:19:549,01127,----,
2025-07-13,23:05:19:662,01127,----,
2025-07-13,23:05:19:766,01133,----,
2025-07-13,23:05:19:879,01145,----,
2025-07-13,23:05:19:983,01305,----,
2025-07-13,23:05:20:095,01305,----,
2025-07-13,23:05:20:210,01308,----,
2025-07-13,23:05:20:312,01315,----,
2025-07-13,23:05:20:426,01476,----,
2025-07-13,23:05:20:539,01452,----,
2025-07-13,23:05:20:642,01452,----,
2025-07-13,23:05:20:749,01508,----,
2025-07-13,23:05:20:860,01689,----,
2025-07-13,23:05:20:973,01578,----,
2025-07-13,23:05:21:076,01578,----,
2025-07-13,23:05:21:189,01449,----,
2025-07-13,23:05:21:304,00341,----,
2025-07-13,23:05:21:405,00339,----,
2025-07-13,23:05:21:519,00338,----,
2025-07-13,23:05:21:634,00338,----,
2025-07-13,23:05:21:737,00361,----,
2025-07-13,23:05:21:850,00398,----,
2025-07-13,23:05:21:954,00489,----,
2025-07-13,23:05:22:071,00489,----,
2025-07-13,23:05:22:173,00482,----,
2025-07-13,23:05:22:286,00470,----,
2025-07-13,23:05:22:390,00318,----,
2025-07-13,23:05:22:503,00323,----,
2025-07-13,23:05:22:607,00323,----,
2025-07-13,23:05:22:721,00331,----,
2025-07-13,23:05:22:833,02054,----,
2025-07-13,23:05:22:945,02105,----,
2025-07-13,23:05:23:048,02076,----,
2025-07-13,23:05:23:162,02076,----,
2025-07-13,23:05:23:264,01981,----,
2025-07-13,23:05:23:379,01996,----,
2025-07-13,23:05:23:492,02015,----,
2025-07-13,23:05:23:596,02015,----,
2025-07-13,23:05:23:709,02386,----,
2025-07-13,23:05:23:812,02398,----,
2025-07-13,23:05:23:927,02458,----,
2025-07-13,23:05:24:039,02623,----,
2025-07-13,23:05:24:142,02623,----,
2025-07-13,23:05:24:255,02631,----,
2025-07-13,23:05:24:358,02645,----,
2025-07-13,23:05:24:472,02539,----,
2025-07-13,23:05:24:584,02539,----,
2025-07-13,23:05:24:687,02550,----,
2025-07-13,23:05:24:802,02557,----,
2025-07-13,23:05:24:914,02716,----,
2025-07-13,23:05:25:017,02725,----,
2025-07-13,23:05:25:133,02725,----,
2025-07-13,23:05:25:236,02739,----,
